device,forecast_length,num_scenarios,mean,median,p95,std_dev,total,success
GPU,2,1,0.048880005876223244,0.04898785287514329,0.04910867968574166,0.0002534463229181871,0.14664001762866974,True
GPU,2,2,0.09403436537832022,0.09403741313144565,0.09420343055389821,0.00015436182884592592,0.28210309613496065,True
GPU,2,4,0.1788890746732553,0.18185788672417402,0.18606905713677407,0.007746363434386256,0.5366672240197659,True
GPU,10,1,0.04463329507658879,0.044747645035386086,0.045083870831876996,0.0004523648434090588,0.13389988522976637,True
GPU,10,2,0.08628435960660379,0.0864691948518157,0.08788179825060069,0.001513569369016825,0.25885307881981134,True
GPU,10,4,0.1654270050736765,0.16473532188683748,0.16712292125448586,0.0014067025643248233,0.4962810152210295,True
GPU,100,1,0.06669172768791516,0.06744605489075184,0.06803682944737374,0.0015542133079009357,0.2000751830637455,True
GPU,100,2,0.12868290022015572,0.12873501097783446,0.12882261695340275,0.00014796180301282605,0.38604870066046715,True
GPU,100,4,0.2811206765472889,0.2793473247438669,0.2841532963793725,0.0025219919431138816,0.8433620296418667,True
CPU,2,1,0.050139132887125015,0.048954141326248646,0.05220007859170437,0.0017124632847832265,0.15041739866137505,True
CPU,2,2,0.09405181122322877,0.09418939426541328,0.09434724939055741,0.0003265419845882354,0.2821554336696863,True
CPU,2,4,0.17274999137346944,0.1681425110436976,0.18305892120115458,0.008535685389238748,0.5182499741204083,True
CPU,10,1,0.045389561293025814,0.04529451206326485,0.045845262613147496,0.00038908876499773145,0.13616868387907743,True
CPU,10,2,0.0941829476505518,0.09421464893966913,0.09430066947825252,0.0001189958385968672,0.2825488429516554,True
CPU,10,4,0.1902368220811089,0.18827044311910868,0.1948942282702774,0.003860033291568354,0.5707104662433267,True
CPU,100,1,0.07391075572619836,0.07392771914601326,0.07451236359775067,0.0005513065834589472,0.22173226717859507,True
CPU,100,2,0.14504210806141296,0.14341978495940566,0.14835417740978302,0.002741217367279292,0.4351263241842389,True
CPU,100,4,0.28143227628121775,0.28165306942537427,0.2819085305556655,0.0005258838737472007,0.8442968288436532,True
