device,forecast_length,num_scenarios,mean,median,p95,std_dev,total,success
GPU,2,1,0.7051270125433803,0.6633759685792029,0.8940155614283863,0.11636393137673873,7.051270125433803,True
GPU,2,2,1.118920801812783,1.11691262293607,1.143388036696706,0.018030146879125845,11.189208018127829,True
GPU,2,4,2.066412703273818,2.019861049950123,2.2709419369813983,0.12658694019169214,20.66412703273818,True
GPU,10,1,2.75184504003264,2.7668134591076523,2.9620605357340533,0.13032220421085025,27.5184504003264,True
GPU,10,2,5.632390532642603,5.659825143404305,5.914889897650573,0.1876980605261034,56.32390532642603,True
GPU,10,4,15.065248445305041,15.060980682028458,15.667487417091614,0.38038503355701575,150.65248445305042,True
GPU,100,1,5.573779735714197,5.646598822087981,5.68473705528304,0.1602304385844051,55.73779735714197,True
GPU,100,2,10.446709124953486,10.270349898491986,11.275767498847562,0.41832600478469695,104.46709124953486,True
GPU,100,4,21.544221925223248,21.007629886618815,23.800587685348,1.1492549752567283,215.44221925223246,True
CPU,2,1,1.3212113426066936,1.272864707512781,1.515939027641434,0.1161390190022211,13.212113426066935,True
CPU,2,2,2.3784013875061647,2.3749319195048884,2.4000372117967346,0.015159089153781224,23.784013875061646,True
CPU,2,4,4.568299671332352,4.531479237484746,4.752430109982378,0.11340067459211307,45.68299671332352,True
CPU,10,1,10.75950798871927,10.250756694469601,12.737851826776751,0.9941186949036958,107.5950798871927,True
CPU,10,2,18.433785558491945,18.410322820418514,18.67601662809029,0.14441389535730592,184.33785558491945,True
CPU,10,4,34.486206939443946,34.41571050602943,34.79674304177752,0.17993235498898208,344.86206939443946,True
CPU,100,1,44.42760204852093,44.314347428036854,44.9354619203019,0.29768359261564475,444.2760204852093,True
CPU,100,2,95.53561633620411,88.1929647900397,128.8222811494138,22.004420706759205,955.3561633620411,True
CPU,100,4,199.88652131531853,177.55028841958847,279.00170896282646,41.02910335153676,1998.8652131531853,True
