device,forecast_length,num_scenarios,mean,median,p95,std_dev,total,success
GPU,10,1,3.921773582044989,3.979521985515021,4.157787235919386,0.19121902451321476,39.21773582044989,True
GPU,10,2,5.462583048362285,5.453061424079351,5.511082544724923,0.02723006700379119,54.62583048362285,True
GPU,10,4,14.773789205914364,14.765865897061303,14.90666146845324,0.08668188756596505,147.73789205914363,True
GPU,10,8,28.318691271054558,28.07595373003278,29.155379118036944,0.46571207540829374,283.1869127105456,True
GPU,10,16,106.28566830620791,119.03502575890161,179.85616589062846,48.57344971977395,956.5710147558711,True
GPU,100,1,6.297617225465364,6.035999549436383,8.066102667851371,1.0714540850902898,62.97617225465365,True
GPU,100,2,13.694141773693264,10.168744144961238,29.753437419456862,10.023303515908195,136.94141773693264,True
GPU,100,4,24.20321489467751,24.512554649962112,25.070412976352962,0.9494434556041218,242.03214894677512,True
GPU,100,8,55.9658033993328,48.61956783593632,87.12332930522969,15.85860400183118,559.658033993328,True
GPU,100,16,,,,,,False
GPU,1000,1,24.761350618721917,24.771122871083207,24.97418567276327,0.16465185060786847,247.61350618721917,True
GPU,1000,2,55.07474167859182,49.72800565639045,72.52839782625668,9.627322410185794,550.7474167859182,True
GPU,1000,4,112.57047619679943,98.92165969405323,160.9227129332954,24.42624213624669,1125.7047619679943,True
GPU,1000,8,267.2853692889912,243.46379288646858,418.25030969998323,92.55541965790809,2138.2829543119296,True
GPU,10,1,2.8690772546920926,2.8584194905124605,2.9173265002900735,0.027693163359754025,28.690772546920925,True
GPU,10,2,6.417079650284722,6.426272660493851,6.712513801839668,0.1985727625481612,64.17079650284722,True
GPU,10,4,9.273042102064938,9.297230412601493,9.808499491028487,0.47934220248247644,92.73042102064937,True
GPU,100,1,5.999779777205549,5.9508077839855105,6.208103147149085,0.12830912303160535,59.99779777205549,True
GPU,100,2,10.036722443788312,10.01271844143048,10.25626133591868,0.12751329762511607,100.36722443788312,True
GPU,100,4,19.79738796649035,19.570989792002365,24.997474159160618,3.352686374095301,197.9738796649035,True
CPU,10,1,8.206205677380785,8.16991039540153,9.197164028114639,0.8326621715054118,82.06205677380785,True
CPU,10,2,17.34676797199063,16.419449404464103,19.522643175150733,1.408647260030597,173.4676797199063,True
CPU,10,4,34.98113340940326,33.78135938558262,40.049408003233836,2.5321123591652395,349.81133409403265,True
CPU,100,1,40.0793269286165,37.76214258256368,50.43391614956779,6.765696914115705,400.793269286165,True
CPU,100,2,97.01503171967343,83.83924722555093,134.20011782174697,20.401721207135097,970.1503171967342,True
