device,forecast_length,num_scenarios,mean,median,p95,std_dev,total,success
GPU,2,1,0.050362283984820046,0.05002027889713645,0.05162691958248615,0.0010664857830264684,0.15108685195446014,True
GPU,2,2,0.09401787398383021,0.09428770607337356,0.09434716603718699,0.0004291647363375559,0.28205362195149064,True
GPU,2,4,0.19419524942835173,0.18468792596831918,0.21936401990242302,0.020924118702573515,0.5825857482850552,True
GPU,10,1,0.04773655083651344,0.045560421887785196,0.05173751949332654,0.0033172520418912,0.14320965250954032,True
GPU,10,2,0.08632604653636615,0.08566053491085768,0.08793639009818435,0.0013352874299056732,0.25897813960909843,True
GPU,10,4,0.22664511669427156,0.20554058207198977,0.28520830483175813,0.04876774410651113,0.6799353500828147,True
GPU,100,1,0.14519248654445013,0.07083265762776136,0.2767314565833658,0.10921380231129434,0.4355774596333504,True
GPU,100,2,0.1357029367548724,0.13814968196675181,0.13858239939436318,0.0038052609722857055,0.4071088102646172,True
GPU,100,4,0.25346379075199366,0.25455804308876395,0.256731761014089,0.003401393066084562,0.760391372255981,True
CPU,2,1,0.04473350833480557,0.04472364392131567,0.044934239238500595,0.0001791104326595526,0.1342005250044167,True
CPU,2,2,0.08583343013500173,0.08610570011660457,0.0867089188657701,0.000901509760857808,0.2575002904050052,True
CPU,2,4,0.1673443385710319,0.16730473516508937,0.16795809781178833,0.0005449585553664397,0.5020330157130957,True
CPU,10,1,0.04502596380189061,0.04486509598791599,0.045508348383009434,0.00040293782063553833,0.13507789140567183,True
CPU,10,2,0.09786561022823055,0.09041299531236291,0.11450089565478265,0.01377343211767025,0.29359683068469167,True
CPU,10,4,0.16808250329146782,0.16829148307442665,0.17026620875112713,0.002052780048296279,0.5042475098744035,True
CPU,100,1,0.06724262253070871,0.0671042213216424,0.0686003017704934,0.0011917904632009876,0.20172786759212613,True
CPU,100,2,0.1305428061944743,0.13112543569877744,0.13233498455956577,0.0018571694464561224,0.3916284185834229,True
CPU,100,4,0.2679844464485844,0.25818205112591386,0.2885273690801114,0.01700148269031702,0.8039533393457532,True
